fold,fdr_q,stock_a,stock_b,Q_estimated,R_estimated
fold_17_202407_202412,0.2,BAC,PNC,0.0005149677788876607,3.503315625271263e-05
fold_17_202407_202412,0.2,DE,EMR,0.000521927684380406,6.96385445726492e-05
fold_17_202407_202412,0.2,LRCX,NXPI,0.0005471429122369338,9.076989178387018e-05
fold_17_202407_202412,0.2,XOM,VLO,0.0005401848671842732,5.7808133509938774e-05
fold_17_202407_202412,0.2,CL,SYY,0.0005775384858928458,4.388449430861395e-05
fold_17_202407_202412,0.2,ABBV,ELV,0.000516191281684991,4.5242784624664115e-05
fold_17_202407_202412,0.2,INTU,ACN,0.0005263120791518686,7.512197913945155e-05
fold_17_202407_202412,0.2,FANG,OKE,0.000807245208252275,0.0001492143125231465
fold_17_202407_202412,0.2,CAT,PH,0.0005587309366992881,5.2997319801624494e-05
fold_17_202407_202412,0.2,MA,BR,0.0005336556198091159,6.6394727090327e-05
fold_18_202410_202503,0.2,EA,TTWO,0.0005067854750654814,4.050665676172002e-05
fold_18_202410_202503,0.2,LOW,HLT,0.0005516395183020837,6.570753827218831e-05
fold_18_202410_202503,0.2,GE,PH,0.0005489400168904057,8.130920139687856e-05
fold_19_202501_202506,0.2,LRCX,NXPI,0.0005297490085576149,6.879124350191508e-05
fold_19_202501_202506,0.2,PG,COST,0.0005012399231506639,2.4595766978420676e-05
fold_19_202501_202506,0.2,JNJ,CVS,0.0004954462314487935,2.4283740750579383e-05
fold_19_202501_202506,0.2,EA,TTWO,0.0005018099428622333,3.920976726909113e-05
fold_19_202501_202506,0.2,MSFT,XLK,0.0004851571667009265,2.004592374586452e-05
fold_19_202501_202506,0.2,WFC,XLF,0.0005096836553026514,3.383959498250854e-05
fold_19_202501_202506,0.2,USB,NTRS,0.0005096799403143227,5.3627835824254535e-05
fold_19_202501_202506,0.2,AAPL,ORCL,0.000544876676612073,6.826832117511323e-05
fold_19_202501_202506,0.2,KEY,NTRS,0.0005196875166705269,9.052610281731809e-05
fold_19_202501_202506,0.2,V,MA,0.0004942919488659083,1.5191933207470866e-05
fold_20_202504_202509,0.2,OKE,WMB,0.0005402614876225416,3.7564284040243855e-05
fold_20_202504_202509,0.2,LRCX,NXPI,0.0005206318429802322,6.96145730557722e-05
fold_20_202504_202509,0.2,DE,LMT,0.0005128430884056426,7.199671597308172e-05
fold_20_202504_202509,0.2,ADI,MPWR,0.0005057741610689897,4.136149838906877e-05
fold_20_202504_202509,0.2,AVGO,KLAC,0.0005117983273048572,4.823670223042395e-05
fold_20_202504_202509,0.2,V,MA,0.0004935957560326357,1.5641532481497478e-05
fold_20_202504_202509,0.2,AMGN,CI,0.0005057572667281105,4.438492742799366e-05
fold_20_202504_202509,0.2,NXPI,SMH,0.0004945036627074829,4.041396120604727e-05
fold_20_202504_202509,0.2,NVDA,ADI,0.0005818404036216908,0.00013194033199974656
fold_20_202504_202509,0.2,MSFT,XLK,0.0004990109159843456,2.0054893817389085e-05
fold_21_202507_202512,0.2,LRCX,NXPI,0.0005160954999531349,7.360746369004106e-05
fold_21_202507_202512,0.2,DE,LMT,0.0005450193011628266,7.280891294628815e-05
fold_21_202507_202512,0.2,DE,ITW,0.0005339605099039044,6.311691759937989e-05
fold_21_202507_202512,0.2,DE,RTX,0.000529924641197293,6.392256711978019e-05
fold_21_202507_202512,0.2,PNC,FITB,0.0004979396750234235,2.303609318780393e-05
fold_21_202507_202512,0.2,V,MA,0.0004925388104829756,1.5593153101819967e-05
fold_21_202507_202512,0.2,NVDA,ADI,0.0005744784276798124,0.00013209275523345774
fold_21_202507_202512,0.2,DE,XLI,0.0005286582114909829,5.040972515146385e-05
fold_21_202507_202512,0.2,GOOGL,NOW,0.00051251390237276,6.575620929168751e-05
fold_21_202507_202512,0.2,PG,COST,0.0004902080819390404,2.6354241679058668e-05
fold_01_202007_202012,0.1,RTX,ETN,0.0004952315146479811,2.594090195349774e-05
fold_01_202007_202012,0.1,INTU,NOW,0.00042483445473113357,3.452563199450162e-05
fold_01_202007_202012,0.1,XOM,DVN,0.0004803829597031956,2.1865180321928093e-05
fold_01_202007_202012,0.1,MS,CFG,0.0005054114041167463,3.0022616334749426e-05
fold_01_202007_202012,0.1,COST,SYY,0.0004922549146128732,3.2141650762813004e-05
fold_01_202007_202012,0.1,UPS,LMT,0.0005273994195145968,3.535132701735299e-05
fold_01_202007_202012,0.1,HBAN,NTRS,0.0005093755483592819,3.2305851928102685e-05
fold_01_202007_202012,0.1,XOM,OXY,0.000510167312096893,2.176981770159252e-05
fold_01_202007_202012,0.1,RF,HBAN,0.0005202869566377853,2.200898308928011e-05
fold_01_202007_202012,0.1,KEY,CFG,0.00046519687042759233,2.0946311734783768e-05
fold_02_202010_202103,0.1,FIS,GPN,0.0004994119519069657,2.424850298339792e-05
fold_02_202010_202103,0.1,LOW,NKE,0.0005493016549168851,6.21557175055802e-05
fold_02_202010_202103,0.1,V,FIS,0.0004969887443458692,3.0720798099371866e-05
fold_02_202010_202103,0.1,KEY,CFG,0.00047211638074678086,2.128538218942738e-05
fold_02_202010_202103,0.1,UPS,BA,0.0004924862519994871,4.680888496750372e-05
fold_02_202010_202103,0.1,UPS,PH,0.0005212234129451821,4.0167504059221815e-05
fold_02_202010_202103,0.1,UPS,RTX,0.000514918992796823,4.3338771629174555e-05
fold_02_202010_202103,0.1,WMB,XLE,0.0007086155949103199,5.7258653885157486e-05
fold_02_202010_202103,0.1,UPS,EMR,0.0005312768835493333,4.278591065868801e-05
fold_02_202010_202103,0.1,PNC,NTRS,0.0005161479303879912,3.286824223044826e-05
fold_03_202101_202106,0.1,LOW,NKE,0.0005355444734222263,6.456191081710881e-05
fold_03_202101_202106,0.1,FIS,GPN,0.0004938115164456418,2.5087047342773414e-05
fold_03_202101_202106,0.1,PNC,NTRS,0.0005356652396497844,4.0935182605514646e-05
fold_03_202101_202106,0.1,UPS,EMR,0.000532776280350235,4.814765746247251e-05
fold_03_202101_202106,0.1,LOW,XLY,0.0005124563775412624,4.41620008507381e-05
fold_03_202101_202106,0.1,LLY,DHR,0.0005326105815482151,4.5059567323463005e-05
fold_03_202101_202106,0.1,PEP,XLP,0.0004970084497467188,1.4492106804869986e-05
fold_03_202101_202106,0.1,XOM,WMB,0.0006810978560788183,4.221311013989758e-05
fold_03_202101_202106,0.1,MCHP,MRVL,0.0005171099986515844,7.160641872959466e-05
