spec,group,pair_type,stock_a,stock_b,entry_threshold,avg_beta,std_beta,avg_beta_uncertainty,beta_uncertainty_block_share,avg_confidence,avg_abs_position,avg_spread_turnover,avg_leg_turnover,total_cost_drag,net_total_return,net_annual_return,net_annual_volatility,net_sharpe,net_sharpe_se,net_max_drawdown,net_daily_hit_rate,gross_total_return,gross_sharpe,gross_sharpe_se,num_trades,trade_win_rate,avg_net_trade_return,median_net_trade_return,avg_holding_days,best_trade,worst_trade,selection_pvalue,selection_pvalue_bh_adj,selection_passes_fdr,selection_beta,selection_r_squared,selection_half_life,selection_training_stability_score,selection_beta_stability,selection_half_life_ratio,selection_fdr_q_threshold_used,selection_selection_mode,fold,fdr_q,transaction_cost_bps,hmm_regime_at_test_start
kalman_full,Industrials,stock_stock,NSC,PH,2.0,0.6455077486503158,0.017755682184518694,0.020180686692034516,0.008064516129032251,0.5032680402984695,0.04090014447027477,0.041058797262458334,0.04107469713185451,0.0,-0.006069946347085686,-0.012286683659431242,0.01940252076404709,-0.6332519268423354,0.09879369986762657,-0.016700296752352184,0.04065040650406504,-0.006069946347085686,-0.6332519268423354,0.09879369986762657,5,0.6,-0.0011999374122134254,0.0012919103304762647,2.0,0.0062508340252194206,-0.010487058619536138,0.0015769979377128615,0.14684375691368481,True,0.7307242921780289,0.9435752525332626,16.942919740553208,4,0.42086221510443805,1.6863821065701603,0.2,fdr_pass,fold_11_202301_202306,0.2,0,high_vol_at_test_start
kalman_full,ConsumerStaples,stock_stock,PEP,COST,2.0,0.6372844942445903,0.005790507388800545,0.029551602888182663,0.22580645161290325,0.49833444994909704,0.01619262214776454,0.016202349355573572,0.01620803912698097,0.00099679440630933,-0.00460966243186367,-0.009445885434853052,0.006337614794861682,-1.49044802194533,0.1309973515856029,-0.005823187797889373,0.008130081300813009,-0.0036156039707307963,-1.2575152818963906,0.12065782910529375,2,0.0,-0.0020588215121062903,-0.0020588215121062903,2.0,-0.0016751877166237827,-0.002442455307588798,0.0015260619878944132,0.14684375691368481,True,0.504200783474433,0.9406818401172851,14.894866433911034,4,0.5461396046971432,1.291819459639036,0.2,fdr_pass,fold_11_202301_202306,0.2,5,high_vol_at_test_start
kalman_full,Industrials,stock_stock,NSC,PH,2.0,0.6455077486503158,0.017755682184518694,0.020180686692034516,0.008064516129032251,0.5032680402984695,0.04090014447027477,0.041058797262458334,0.04107469713185451,0.0025260938736090515,-0.008579430433574564,-0.017462095498044908,0.01958577883525209,-0.8915701359097957,0.10658973293740596,-0.017447713388930364,0.04065040650406504,-0.006069946347085686,-0.6332519268423354,0.09879369986762657,5,0.6,-0.0014529362945049362,0.001039814407062023,2.0,0.005995847074914851,-0.010737041521072355,0.0015769979377128615,0.14684375691368481,True,0.7307242921780289,0.9435752525332626,16.942919740553208,4,0.42086221510443805,1.6863821065701603,0.2,fdr_pass,fold_11_202301_202306,0.2,5,high_vol_at_test_start
kalman_full,ConsumerStaples,stock_stock,PEP,COST,2.0,0.6372844942445903,0.005790507388800545,0.029551602888182663,0.22580645161290325,0.49833444994909704,0.01619262214776454,0.016202349355573572,0.01620803912698097,0.00199358881261866,-0.005602976621101097,-0.011488098364852654,0.0068307551752802,-1.6818196626965785,0.14010039051367662,-0.006567614405766142,0.008130081300813009,-0.0036156039707307963,-1.2575152818963906,0.12065782910529375,2,0.0,-0.0023082774802672956,-0.0023082774802672956,2.0,-0.0019243774552166748,-0.0026921775053179164,0.0015260619878944132,0.14684375691368481,True,0.504200783474433,0.9406818401172851,14.894866433911034,4,0.5461396046971432,1.291819459639036,0.2,fdr_pass,fold_11_202301_202306,0.2,10,high_vol_at_test_start
kalman_full,Industrials,stock_stock,NSC,PH,2.0,0.6455077486503158,0.017755682184518694,0.020180686692034516,0.008064516129032251,0.5032680402984695,0.04090014447027477,0.041058797262458334,0.04107469713185451,0.005052187747218103,-0.01108320895902426,-0.022637507336658584,0.01982831788225701,-1.1416756313411398,0.11588161970458687,-0.01819475044729535,0.04065040650406504,-0.006069946347085686,-0.6332519268423354,0.09879369986762657,5,0.6,-0.0017059348142465902,0.0007877192391159138,2.0,0.005740860124610059,-0.010987023665559037,0.0015769979377128615,0.14684375691368481,True,0.7307242921780289,0.9435752525332626,16.942919740553208,4,0.42086221510443805,1.6863821065701603,0.2,fdr_pass,fold_11_202301_202306,0.2,10,high_vol_at_test_start
kalman_full,ConsumerStaples,stock_stock,PEP,COST,2.0,0.6372844942445903,0.005790507388800545,0.029551602888182663,0.22580645161290325,0.49833444994909704,0.01619262214776454,0.016202349355573572,0.01620803912698097,0.0049839720315466495,-0.008578457276440243,-0.017614737154851463,0.008490616114904776,-2.0746123622206674,0.16008148907423006,-0.008798663333892343,0.008130081300813009,-0.0036156039707307963,-1.2575152818963906,0.12065782910529375,2,0.0,-0.0030566445309974655,-0.0030566445309974655,2.0,-0.002671946670995129,-0.003441342390999802,0.0015260619878944132,0.14684375691368481,True,0.504200783474433,0.9406818401172851,14.894866433911034,4,0.5461396046971432,1.291819459639036,0.2,fdr_pass,fold_11_202301_202306,0.2,25,high_vol_at_test_start
kalman_full,Industrials,stock_stock,NSC,PH,2.0,0.6455077486503158,0.017755682184518694,0.020180686692034516,0.008064516129032251,0.5032680402984695,0.04090014447027477,0.041058797262458334,0.04107469713185451,0.01263046936804526,-0.01856042645318723,-0.03816374285249958,0.020888460537886372,-1.827025155026634,0.14730672768319883,-0.02130100563729609,0.04065040650406504,-0.006069946347085686,-0.6332519268423354,0.09879369986762657,5,0.6,-0.0024649281981750535,3.143826807971983e-05,2.0,0.004975899273696127,-0.01173696555673076,0.0015769979377128615,0.14684375691368481,True,0.7307242921780289,0.9435752525332626,16.942919740553208,4,0.42086221510443805,1.6863821065701603,0.2,fdr_pass,fold_11_202301_202306,0.2,25,high_vol_at_test_start
kalman_full,ConsumerStaples,stock_etf,COST,XLP,2.0,1.029117645922125,0.016781826549022407,0.04920745863767947,0.5564516129032258,0.48891848621212186,0.016047904541007466,0.016059304353856954,0.01606521256610545,0.0,0.0026639251442142076,0.005524028013257429,0.01217523456988857,0.45371019191033013,0.09469362102474316,-0.005209334956569722,0.016260162601626018,0.0026639251442142076,0.45371019191033013,0.09469362102474316,2,1.0,0.0013310838439524186,0.0013310838439524186,2.0,0.0014507830089414142,0.001211384678963423,0.003958648329336319,0.25498352474254526,False,2.070035753274502,0.92729856590357,25.761339386376502,2,0.6700356322771432,1.4974445296109589,0.2,top_raw_p_fallback,fold_14_202310_202403,0.2,0,low_vol_at_test_start
kalman_full,ConsumerStaples,stock_etf,COST,XLP,2.0,1.029117645922125,0.016781826549022407,0.04920745863767947,0.5564516129032258,0.48891848621212186,0.016047904541007466,0.016059304353856954,0.01606521256610545,0.0009880105728154853,0.0016722901014816216,0.0034998112299281427,0.012425408662969142,0.28166568399142194,0.09193793323339984,-0.00570111700318332,0.016260162601626018,0.0026639251442142076,0.45371019191033013,0.09469362102474316,2,1.0,0.0010827688194627871,0.0010827688194627871,2.0,0.0012038555767910353,0.000961682062134539,0.003958648329336319,0.25498352474254526,False,2.070035753274502,0.92729856590357,25.761339386376502,2,0.6700356322771432,1.4974445296109589,0.2,top_raw_p_fallback,fold_14_202310_202403,0.2,5,low_vol_at_test_start
kalman_full,ConsumerStaples,stock_etf,COST,XLP,2.0,1.029117645922125,0.016781826549022407,0.04920745863767947,0.5564516129032258,0.48891848621212186,0.016047904541007466,0.016059304353856954,0.01606521256610545,0.0019760211456309705,0.0006813913039953601,0.0014755944465988551,0.012708991017643506,0.11610634113678515,0.09047033117534337,-0.006192777466541233,0.016260162601626018,0.0026639251442142076,0.45371019191033013,0.09469362102474316,2,1.0,0.0008344540577980286,0.0008344540577980286,2.0,0.0009569283544939022,0.000711979761102155,0.003958648329336319,0.25498352474254526,False,2.070035753274502,0.92729856590357,25.761339386376502,2,0.6700356322771432,1.4974445296109589,0.2,top_raw_p_fallback,fold_14_202310_202403,0.2,10,low_vol_at_test_start
