spec,entry_threshold,transaction_cost,num_pairs,portfolio_weighting,max_pair_weight,min_pair_weight,gross_total_return,gross_sharpe,gross_sharpe_se,net_total_return,net_annual_return,net_annual_volatility,net_sharpe,net_sharpe_se,net_max_drawdown,net_daily_hit_rate,num_trades,trade_win_rate,avg_trade_return,avg_holding_days,fold,fdr_q,hmm_regime_at_test_start,test_start,test_end,chosen_threshold,transaction_cost_bps,num_training_pairs,num_final_pairs,num_final_stock_stock,num_final_stock_etf,num_final_fdr_pass,cost_model,cost_accounting
kalman_full,2.0,0.001,4,inverse_volatility,0.7916395952570436,0.0,0.0,,,-0.0003711701897598507,-0.0007468155366469349,0.0017967309569237202,-0.4156524012507682,0.09322589594453957,-0.0014669817436874233,0.016,3,0.3333333333333333,0.002909160833938218,2.0,fold_13_202307_202312,0.2,low_vol_at_test_start,2023-07-01,2023-12-31,2.0,10,10,4,4,0,0,flat_bps,leg_level
kalman_full,2.0,0.0025,4,inverse_volatility,0.6352479972946832,0.0,0.0,,,-0.0011377993176452383,-0.0022895873281621568,0.0033330287022364626,-0.6869389773408923,0.09943611333092521,-0.0028751135585848298,0.016,3,0.3333333333333333,0.0021648677884428627,2.0,fold_13_202307_202312,0.2,low_vol_at_test_start,2023-07-01,2023-12-31,2.0,25,10,4,4,0,0,flat_bps,leg_level
kalman_full,2.0,0.0,4,inverse_volatility,0.41925642918412315,0.0,0.0,,,0.007377605558892997,0.015080629132196299,0.006442141816453363,2.340934049865227,0.1743742846920482,-0.002107898844327938,0.07317073170731707,10,0.9,0.0020972202726112664,1.6,fold_14_202310_202403,0.2,low_vol_at_test_start,2023-10-01,2024-03-31,2.0,0,10,4,3,1,0,flat_bps,leg_level
kalman_full,2.0,0.0005,4,inverse_volatility,0.433942346161835,0.0,0.0,,,0.005830260589800629,0.011929820169710033,0.00624022991793745,1.9117597150415786,0.15161495421524382,-0.002251729828461113,0.07317073170731707,10,0.9,0.0018456292794643558,1.6,fold_14_202310_202403,0.2,low_vol_at_test_start,2023-10-01,2024-03-31,2.0,5,10,4,3,1,0,flat_bps,leg_level
kalman_full,2.0,0.001,4,inverse_volatility,0.44890853489370736,0.0,0.0,,,0.004268906740722667,0.008745796563954918,0.006060718354106077,1.4430296959814553,0.12882102514042104,-0.0023865663236140033,0.07317073170731707,10,0.9,0.001594038434005951,1.6,fold_14_202310_202403,0.2,low_vol_at_test_start,2023-10-01,2024-03-31,2.0,10,10,4,3,1,0,flat_bps,leg_level
kalman_full,2.0,0.0025,4,inverse_volatility,0.48964484384326334,0.0,0.0,,,-0.00048524677399353067,-0.000978050696509761,0.005742868829576845,-0.17030698863825997,0.0908184213249013,-0.002739476860390666,0.07317073170731707,10,0.8,0.000839266783759951,1.6,fold_14_202310_202403,0.2,low_vol_at_test_start,2023-10-01,2024-03-31,2.0,25,10,4,3,1,0,flat_bps,leg_level
kalman_full,3.0,0.0,1,inverse_volatility,1.0,1.0,0.0,,,0.005103968390450797,0.010443709980658704,0.0051593536466759205,2.024228361897115,0.15743756616601762,0.0,0.016260162601626018,2,1.0,0.0025487625548036297,1.0,fold_15_202401_202406,0.2,low_vol_at_test_start,2024-01-01,2024-06-30,3.0,0,5,1,1,0,1,flat_bps,leg_level
kalman_full,3.0,0.0005,1,inverse_volatility,1.0,1.0,0.0,,,0.004085194945743886,0.008363633045580908,0.004686630061561312,1.7845729096856926,0.14517581813327904,-0.00025478593479544287,0.016260162601626018,2,1.0,0.002294943643082803,1.0,fold_15_202401_202406,0.2,low_vol_at_test_start,2024-01-01,2024-06-30,3.0,5,5,1,1,0,1,flat_bps,leg_level
kalman_full,3.0,0.001,1,inverse_volatility,1.0,1.0,0.0,,,0.0030671961645820645,0.00628355611050311,0.004282528273141235,1.4672538532697463,0.1299285899856933,-0.0005095718695906637,0.016260162601626018,2,1.0,0.0020411247313619763,1.0,fold_15_202401_202406,0.2,low_vol_at_test_start,2024-01-01,2024-06-30,3.0,10,5,1,1,0,1,flat_bps,leg_level
kalman_full,3.0,0.0025,1,inverse_volatility,1.0,1.0,0.0,,,1.7843874921652514e-05,4.332530526972317e-05,0.003694122954423368,0.011728170882305138,0.09017006402971524,-0.0012739296739764372,0.016260162601626018,2,1.0,0.0012796679961996071,1.0,fold_15_202401_202406,0.2,low_vol_at_test_start,2024-01-01,2024-06-30,3.0,25,5,1,1,0,1,flat_bps,leg_level
kalman_full,2.0,0.0,3,inverse_volatility,0.36372043601101933,0.3111159556641255,0.0,,,0.00506733241373758,0.01014665568812479,0.008681743622544723,1.1687347760161897,0.11557209281473546,-0.006586480723247967,0.0873015873015873,12,0.75,0.0013605338418137547,1.5,fold_16_202404_202409,0.2,low_vol_at_test_start,2024-04-01,2024-09-30,2.0,0,10,3,3,0,0,flat_bps,leg_level
kalman_full,2.0,0.0005,3,inverse_volatility,0.3625477854194161,0.30915152844659494,0.0,,,0.003122950382174361,0.006273482428511146,0.008664888647573385,0.7240118925553699,0.10008316423921342,-0.006902208202199778,0.0873015873015873,12,0.75,0.0011092236491207403,1.5,fold_16_202404_202409,0.2,low_vol_at_test_start,2024-04-01,2024-09-30,2.0,5,10,3,3,0,0,flat_bps,leg_level
kalman_full,2.0,0.001,3,inverse_volatility,0.36148782565554977,0.30733578358904157,0.0,,,0.0011734696741207973,0.0023830047348504884,0.00868705093682687,0.2743168829306913,0.09074755128667122,-0.007217857923297322,0.0873015873015873,12,0.75,0.0008579137405922884,1.5,fold_16_202404_202409,0.2,low_vol_at_test_start,2024-04-01,2024-09-30,2.0,10,10,3,3,0,0,flat_bps,leg_level
kalman_full,2.0,0.0025,3,inverse_volatility,0.35931444719850697,0.3032144516042081,0.0,,,-0.004709734361230122,-0.009401490126346267,0.008985212517136333,-1.0463291890332056,0.11081954392956814,-0.008176919985032338,0.07936507936507936,12,0.6666666666666666,0.00010398571999065132,1.5,fold_16_202404_202409,0.2,low_vol_at_test_start,2024-04-01,2024-09-30,2.0,25,10,3,3,0,0,flat_bps,leg_level
kalman_full,2.0,0.0,5,inverse_volatility,0.3825559393629525,0.0,0.0,,,0.0003313416268109215,0.0006810324751669616,0.006909383561473106,0.09856631479607177,0.08895091361599382,-0.00439832105420801,0.08661417322834646,13,0.46153846153846156,9.714301039869085e-05,2.230769230769231,fold_17_202407_202412,0.2,low_vol_at_test_start,2024-07-01,2024-12-31,2.0,0,10,5,5,0,0,flat_bps,leg_level
kalman_full,2.0,0.0005,5,inverse_volatility,0.38856258162260005,0.0,0.0,,,-0.0018602582790147038,-0.0036701643990120136,0.007023699055616076,-0.5225400988781529,0.09459919917207749,-0.004975081316856089,0.07874015748031496,13,0.46153846153846156,-0.00015717382289365684,2.230769230769231,fold_17_202407_202412,0.2,low_vol_at_test_start,2024-07-01,2024-12-31,2.0,5,10,5,5,0,0,flat_bps,leg_level
